	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)
VARIABLES	TLAG_LOW	TLAG_HIGH	TONE_LOW	TONE_HIGH	NW_LOW	NW_HIGH	N8K_LOW	N8K_HIGH	NITEM_LOW	NITEM_HIGH	NEXHIBIT_LOW	NEXHIBIT_HIGH	NGRAPH_LOW	NGRAPH_HIGH	TLAG_LOW	TLAG_HIGH	TONE_LOW	TONE_HIGH	NW_LOW	NW_HIGH	N8K_LOW	N8K_HIGH	NITEM_LOW	NITEM_HIGH	NEXHIBIT_LOW	NEXHIBIT_HIGH	NGRAPH_LOW	NGRAPH_HIGH
																												
TLAG	.	.													.	.												
	(.)	(.)													(.)	(.)												
DRET	1.794***	2.727***	-0.858	-2.181**	-0.087	-0.046	-0.048***	-0.031***	-0.099***	-0.054	-0.125***	-0.114**	-0.131***	-0.445***	1.904***	1.802***	-0.270	-1.675*	-0.097	-0.053	-0.058***	-0.029***	-0.129***	-0.028	-0.159**	-0.071*	-0.080	-0.246***
	(11.77)	(10.54)	(-1.09)	(-2.11)	(-1.28)	(-0.43)	(-3.01)	(-2.77)	(-3.92)	(-1.46)	(-2.86)	(-1.99)	(-2.63)	(-4.71)	(7.27)	(8.67)	(-0.35)	(-1.67)	(-1.02)	(-0.75)	(-2.72)	(-2.86)	(-3.33)	(-0.93)	(-2.45)	(-1.69)	(-0.93)	(-4.03)
BN	0.005	-0.125***	-0.168	-0.064	-0.027***	-0.017	-0.005***	-0.000	-0.008	-0.004	-0.003	-0.001	0.007	-0.015	0.015	-0.041	-0.062	-0.074	-0.024	-0.003	-0.008***	-0.000	-0.008	0.004	-0.008	0.011	0.006	-0.008
	(0.19)	(-4.65)	(-1.43)	(-0.47)	(-2.63)	(-1.37)	(-3.02)	(-0.12)	(-1.42)	(-0.68)	(-0.38)	(-0.14)	(0.64)	(-1.10)	(0.39)	(-1.64)	(-0.47)	(-0.65)	(-1.60)	(-0.28)	(-3.55)	(-0.23)	(-1.20)	(0.91)	(-0.69)	(1.49)	(0.39)	(-0.63)
DRET_BN	-2.570***	-5.624***	1.091	4.527**	0.086	0.016	0.056**	0.057***	0.123***	0.045	0.201***	0.199*	0.187***	0.632***	-2.775***	-2.905***	0.556	2.117*	0.061	0.067	0.059**	0.042***	0.150**	0.051	0.209**	0.199***	0.133	0.316***
	(-8.49)	(-13.75)	(0.93)	(2.41)	(0.90)	(0.10)	(2.51)	(3.21)	(3.01)	(0.81)	(3.42)	(1.96)	(3.24)	(4.12)	(-5.32)	(-8.82)	(0.52)	(1.90)	(0.50)	(0.68)	(2.09)	(3.86)	(2.11)	(1.27)	(2.31)	(3.34)	(1.46)	(4.12)
