	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)
VARIABLES	NW_1	NW_2	NW_3	NW_4	NW_5	n8k_1	n8k_2	n8k_3	n8k_4	n8k_5	nitem_1	nitem_2	nitem_3	nitem_4	nitem_5	NEXHIBIT_1	NEXHIBIT_2	NEXHIBIT_3	NEXHIBIT_4	NEXHIBIT_5	NGRAPH_1	NGRAPH_2	NGRAPH_3	NGRAPH_4	NGRAPH_5	TONE_1	TONE_2	TONE_3	TONE_4	TONE_5	TLAG_1	TLAG_2	TLAG_3	TLAG_4	TLAG_5
																																			
NW	.	.	.	.	.																														
	(.)	(.)	(.)	(.)	(.)																														
199411o.cmonth		-			-		-			-		-			-		-			-		-			-		-			-		-			-
																																			
199501o.cmonth		-					-					-					-					-					-					-			
																																			
DRET	-0.412**	-0.107	-0.281**	-0.005	-0.003	-0.065**	-0.017	-0.036	-0.028	-0.033	-0.075	-0.032	-0.133***	-0.067	-0.044	-0.203*	0.045	-0.190*	-0.138*	-0.062	-0.204	-0.113	-0.485***	-0.106	0.021	-5.666***	-3.050*	-2.584*	0.874	-0.855	2.631***	3.088***	1.779***	1.491***	2.052***
	(-2.02)	(-0.50)	(-2.47)	(-0.03)	(-0.02)	(-2.52)	(-0.72)	(-1.62)	(-1.06)	(-1.51)	(-0.87)	(-0.47)	(-2.71)	(-1.28)	(-0.93)	(-1.94)	(0.52)	(-1.85)	(-1.71)	(-0.74)	(-1.20)	(-0.66)	(-3.79)	(-1.12)	(0.33)	(-3.05)	(-1.94)	(-1.92)	(0.62)	(-0.59)	(7.00)	(7.62)	(5.75)	(6.89)	(11.44)
BN	-0.051***	-0.011	-0.030	0.005	-0.025	-0.005*	0.001	-0.001	-0.004	-0.001	-0.005	0.000	-0.005	-0.007	0.001	-0.006	0.018	-0.014	-0.014	0.006	0.008	-0.002	-0.035*	-0.007	0.034**	-0.538***	-0.348	-0.073	0.381**	-0.319	-0.072	0.037	-0.045	-0.024	0.007
	(-2.77)	(-0.45)	(-1.46)	(0.25)	(-1.00)	(-1.84)	(0.47)	(-0.52)	(-1.18)	(-0.33)	(-0.63)	(0.01)	(-0.62)	(-0.68)	(0.13)	(-0.46)	(1.47)	(-1.14)	(-1.04)	(0.39)	(0.35)	(-0.08)	(-1.83)	(-0.46)	(2.13)	(-3.12)	(-1.59)	(-0.26)	(2.12)	(-1.28)	(-1.50)	(0.83)	(-1.16)	(-0.47)	(0.13)
DRET_BN	0.392	0.115	0.490***	0.061	-0.049	0.079***	0.026	0.059**	0.029	0.057*	0.106	0.024	0.188***	0.089	0.072	0.344***	0.025	0.293**	0.189	0.110	0.234	0.132	0.645***	0.102	0.054	5.632**	3.776	4.633**	0.627	0.328	-4.387***	-4.967***	-2.817***	-2.377***	-3.249***
	(1.49)	(0.40)	(2.79)	(0.39)	(-0.26)	(2.70)	(0.82)	(2.08)	(0.93)	(1.90)	(0.99)	(0.28)	(2.94)	(1.26)	(1.17)	(2.69)	(0.18)	(2.35)	(1.57)	(1.07)	(1.09)	(0.55)	(3.64)	(0.96)	(0.56)	(2.18)	(1.59)	(2.48)	(0.30)	(0.15)	(-5.46)	(-7.59)	(-4.09)	(-5.75)	(-11.13)
199407o.cmonth	-					-					-					-					-					-					-				
																																			
199402o.cmonth			-					-					-					-					-					-					-		
																																			
n8k						.	.	.	.	.																									
						(.)	(.)	(.)	(.)	(.)																									
nitem											.	.	.	.	.																				
											(.)	(.)	(.)	(.)	(.)																				
NEXHIBIT																.	.	.	.	.															
																(.)	(.)	(.)	(.)	(.)															
NGRAPH																					.	.	.	.	.										
																					(.)	(.)	(.)	(.)	(.)										
TONE																										.	.	.	.	.					
																										(.)	(.)	(.)	(.)	(.)					
TLAG																															.	.	.	.	.
																															(.)	(.)	(.)	(.)	(.)
