	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	NW_LOW	NW_HIGH	n8k_LOW	n8k_HIGH	nitem_LOW	nitem_HIGH	NEXHIBIT_LOW	NEXHIBIT_HIGH	NGRAPH_LOW	NGRAPH_HIGH	TONE_LOW	TONE_HIGH	TLAG_LOW	TLAG_HIGH
														
NW	.	.												
	(.)	(.)												
DRET	0.477	0.831	-0.032	-0.000	-0.049	0.113	-0.253	0.277	-0.044	-0.041	4.149	2.943	2.656***	2.889***
	(0.87)	(1.59)	(-1.29)	(-0.00)	(-0.43)	(1.11)	(-1.29)	(1.18)	(-0.28)	(-0.34)	(1.00)	(0.72)	(4.24)	(3.72)
BN	-0.067	-0.068	-0.001	-0.002	0.010	-0.016	-0.027	-0.004	0.005	0.022	-0.484	-0.063	-0.116	-0.334***
	(-0.98)	(-1.23)	(-0.23)	(-0.36)	(0.56)	(-1.05)	(-0.92)	(-0.13)	(0.14)	(0.62)	(-0.88)	(-0.12)	(-1.20)	(-3.69)
DRET_BN	-1.439*	-1.967**	0.063	-0.004	0.093	-0.216	0.370	-0.499	0.089	0.208	-9.759	-4.301	-6.035***	-7.851***
	(-1.71)	(-2.11)	(1.54)	(-0.08)	(0.50)	(-1.19)	(1.18)	(-1.38)	(0.30)	(0.97)	(-1.38)	(-0.63)	(-5.96)	(-7.18)
SIZE	0.114	0.105	-0.002	-0.005	0.007	0.002	0.006	0.012	0.027	-0.031	0.489	0.369	0.209***	0.103
	(1.64)	(1.55)	(-0.98)	(-1.43)	(0.56)	(0.20)	(0.23)	(0.51)	(1.05)	(-1.26)	(0.83)	(0.92)	(3.31)	(1.57)
MTB	-0.011	-0.017	-0.000	0.000	-0.002	-0.000	-0.000	-0.006*	0.002	0.002	-0.063	-0.001	-0.021*	-0.014
	(-0.86)	(-1.32)	(-0.10)	(0.34)	(-0.67)	(-0.19)	(-0.06)	(-1.73)	(0.48)	(0.54)	(-0.70)	(-0.02)	(-1.85)	(-1.54)
LEV	0.032	0.300	0.008	-0.002	0.015	-0.004	-0.049	-0.049	-0.164	-0.127	0.513	-0.701	0.079	0.276
	(0.09)	(1.05)	(0.60)	(-0.08)	(0.19)	(-0.07)	(-0.34)	(-0.51)	(-1.17)	(-1.30)	(0.18)	(-0.40)	(0.20)	(0.78)
EARN	0.716	1.925**	-0.015	-0.068	0.004	0.004	0.349	0.105	-0.083	0.057	8.977	7.091	-0.613	0.783
	(0.76)	(2.58)	(-0.56)	(-1.58)	(0.02)	(0.03)	(1.27)	(0.31)	(-0.30)	(0.31)	(1.48)	(1.44)	(-0.54)	(1.35)
STD_EARN	1.017	-0.940	-0.003	-0.035	-0.576	-0.062	-0.703	-0.348	-0.166	0.026	5.817	-9.105	-0.968	-1.228
	(0.74)	(-0.99)	(-0.08)	(-0.53)	(-1.52)	(-0.25)	(-1.48)	(-0.57)	(-0.33)	(0.09)	(0.62)	(-1.47)	(-0.72)	(-1.57)
o.BUSSEG	-	-	-	-	-	-	-	-	-	-	-	-	-	-
														
o.GEOSEG	-	-	-	-	-	-	-	-	-	-	-	-	-	-
														
AF	-0.056	0.176	-0.015	0.017	-0.054	0.060	0.151	-0.147	-0.139	0.388	-6.362	2.379	0.449	1.100
	(-0.10)	(0.28)	(-0.59)	(0.24)	(-0.45)	(0.30)	(0.76)	(-0.47)	(-0.46)	(1.05)	(-1.63)	(0.49)	(0.86)	(1.21)
AFE	-0.799	-2.016	0.002	0.102	0.134	0.199	-0.384	-0.076	-0.677	0.949	-1.081	-6.889	-0.191	-0.088
	(-1.45)	(-1.11)	(0.07)	(0.72)	(1.02)	(0.55)	(-1.41)	(-0.13)	(-1.47)	(1.00)	(-0.20)	(-0.42)	(-0.31)	(-0.05)
n8k			.	.										
			(.)	(.)										
nitem					.	.								
					(.)	(.)								
NEXHIBIT							.	.						
							(.)	(.)						
NGRAPH									.	.				
									(.)	(.)				
TONE											.	.		
											(.)	(.)		
TLAG													.	.
													(.)	(.)
Constant	-7.767***	-8.045***	-0.684***	-0.659***	-0.947***	-0.875***	-0.429**	-0.706***	-0.117	0.201	-11.640**	-0.398	-3.558***	-4.391***
	(-12.90)	(-11.68)	(-42.72)	(-23.72)	(-8.63)	(-7.01)	(-2.23)	(-2.84)	(-0.71)	(1.10)	(-2.15)	(-0.06)	(-5.75)	(-4.94)
														
Observations	4,684	4,791	4,684	4,791	4,684	4,791	4,684	4,791	4,684	4,791	4,684	4,791	4,684	4,791
Adjusted R-squared	0.517	0.495	-0.041	0.014	0.361	0.331	0.254	0.180	0.179	0.238	0.185	0.145	0.139	0.133
Year-quarter FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Industry clustered SE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust t-statistics in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
