	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	NW_LOW	NW_HIGH	n8k_LOW	n8k_HIGH	nitem_LOW	nitem_HIGH	NEXHIBIT_LOW	NEXHIBIT_HIGH	NGRAPH_LOW	NGRAPH_HIGH	TONE_LOW	TONE_HIGH	TLAG_LOW	TLAG_HIGH
														
NW	.	.												
	(.)	(.)												
DRET	-0.149*	0.021	-0.051***	-0.031*	-0.119***	-0.037	-0.178***	-0.031	-0.251***	-0.153***	-2.899***	0.150	2.558***	1.727***
	(-1.68)	(0.23)	(-3.65)	(-1.96)	(-3.40)	(-1.21)	(-2.95)	(-0.57)	(-3.00)	(-4.29)	(-3.23)	(0.31)	(9.96)	(11.27)
BN	-0.024**	-0.012	-0.003	-0.002	-0.008*	0.005	-0.016**	0.015*	-0.006	0.012	-0.214*	-0.006	-0.099***	0.025
	(-2.24)	(-1.11)	(-1.59)	(-1.52)	(-1.77)	(0.91)	(-2.06)	(1.87)	(-0.49)	(1.34)	(-1.80)	(-0.06)	(-3.75)	(1.27)
DRET_BN	0.138	-0.037	0.073***	0.039*	0.168***	0.056	0.206**	0.117	0.374***	0.231***	4.475***	0.102	-4.767***	-2.494***
	(0.96)	(-0.33)	(3.62)	(1.86)	(3.08)	(1.13)	(2.37)	(1.49)	(3.02)	(4.55)	(2.82)	(0.15)	(-11.00)	(-9.09)
SIZE	0.026**	0.010	-0.001	-0.001	-0.005	0.003	-0.004	0.002	-0.014	0.008	0.095	0.148	0.076***	0.038***
	(2.55)	(0.80)	(-0.80)	(-0.41)	(-1.34)	(0.66)	(-0.65)	(0.27)	(-1.19)	(1.17)	(1.11)	(1.56)	(5.04)	(2.75)
MTB	-0.001	-0.002	0.000	-0.000	-0.000	-0.000	-0.003***	-0.001	-0.003	-0.003**	0.001	-0.019*	0.003	0.002
	(-0.74)	(-0.87)	(0.70)	(-1.23)	(-0.64)	(-0.53)	(-2.93)	(-1.06)	(-1.62)	(-2.42)	(0.05)	(-1.69)	(1.29)	(0.62)
LEV	0.080	-0.164***	-0.004	-0.014***	-0.001	-0.058***	0.009	-0.044	-0.035	0.023	0.381	-1.573***	-0.015	-0.001
	(1.44)	(-3.56)	(-0.88)	(-2.79)	(-0.03)	(-2.99)	(0.37)	(-1.05)	(-0.59)	(0.36)	(0.79)	(-2.83)	(-0.16)	(-0.02)
EARN	0.254	0.511***	0.006	-0.009	0.037	0.086	-0.000	0.179**	-0.273**	0.043	2.097	3.685*	-0.197	-0.217
	(1.29)	(5.07)	(0.47)	(-1.03)	(0.78)	(1.58)	(-0.01)	(2.47)	(-2.35)	(0.78)	(1.26)	(1.92)	(-1.11)	(-1.31)
