	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)
VARIABLES	NW	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
																													
NW	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
RET	1.016	1.016	0.371	0.037	0.015	0.121	0.116	-0.023	0.030	-0.042**	-0.037	0.040***	-0.022	0.083***	-0.048**	-0.005	0.077**	0.034*	0.017	-0.029	0.004	-0.002	0.003	-0.006	0.025	0.010	-0.010	0.001	-0.092
	(0.32)	(0.32)	(0.91)	(0.25)	(0.16)	(1.15)	(1.54)	(-0.51)	(0.91)	(-2.46)	(-1.21)	(3.03)	(-0.82)	(3.20)	(-1.98)	(-0.18)	(2.56)	(1.94)	(0.65)	(-1.09)	(0.16)	(-0.10)	(0.13)	(-0.37)	(0.93)	(0.34)	(-0.49)	(0.08)	(-0.48)
NEG	-0.561	-0.561	0.006	-0.015	0.014	0.012	0.009	-0.052	-0.021	0.017	0.028**	0.000	-0.003	0.017*	0.009	-0.006	-0.018**	0.030***	0.001	-0.005	0.001	-0.001	0.006	0.002	0.005	-0.008	-0.003	0.003	0.032
	(-0.26)	(-0.26)	(0.06)	(-0.26)	(0.43)	(0.36)	(0.29)	(-1.56)	(-1.02)	(1.48)	(2.02)	(0.05)	(-0.25)	(1.80)	(1.37)	(-0.64)	(-2.43)	(3.21)	(0.11)	(-0.58)	(0.09)	(-0.18)	(0.78)	(0.30)	(0.73)	(-1.24)	(-0.40)	(0.59)	(0.74)
RET_NEG	-7.280	-7.280	-0.660	-0.013	-0.170	-0.005	-0.304***	0.052	-0.041	-0.006	-0.122**	0.022	-0.064	-0.090*	-0.053	-0.165***	-0.214***	0.126***	-0.032	-0.170***	-0.098***	-0.005	-0.141***	-0.144***	0.045	-0.027	-0.052*	-0.101***	0.412
	(-0.52)	(-0.52)	(-1.28)	(-0.04)	(-0.98)	(-0.03)	(-2.65)	(0.50)	(-0.70)	(-0.20)	(-2.39)	(0.53)	(-1.43)	(-1.94)	(-1.19)	(-3.66)	(-5.69)	(2.69)	(-0.67)	(-3.85)	(-2.82)	(-0.13)	(-3.47)	(-3.57)	(0.95)	(-0.44)	(-1.87)	(-5.13)	(1.20)
Constant	7.914***	7.914***	8.208***	8.210***	8.330***	8.454***	8.553***	8.785***	8.537***	8.525***	8.769***	9.011***	9.072***	9.169***	9.300***	9.275***	9.326***	9.407***	9.377***	9.383***	9.396***	9.433***	9.451***	9.490***	9.535***	9.565***	9.648***	9.626***	9.444***
	(16.37)	(16.37)	(149.29)	(245.18)	(418.25)	(343.80)	(420.12)	(502.11)	(578.56)	(1,328.59)	(1,030.63)	(2,095.26)	(1,643.66)	(1,777.75)	(1,948.50)	(1,628.81)	(1,804.39)	(1,601.71)	(1,834.48)	(1,774.52)	(1,894.52)	(2,355.30)	(2,265.03)	(2,666.99)	(1,598.83)	(1,553.80)	(2,526.57)	(3,109.39)	(270.37)
																													
Observations	89	89	2,042	4,332	8,372	10,123	9,968	9,300	9,725	8,861	8,279	7,761	7,608	7,220	7,253	7,411	7,631	6,378	6,498	6,561	6,797	6,752	7,047	6,850	6,542	6,604	6,903	7,028	400
Adjusted R-squared	0.448	0.448	0.354	0.359	0.377	0.363	0.372	0.410	0.613	0.851	0.798	0.898	0.887	0.903	0.902	0.909	0.907	0.911	0.925	0.928	0.935	0.940	0.932	0.936	0.946	0.941	0.944	0.954	0.950
Year-quarter FE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Industry clustered SE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust t-statistics in parentheses																													
*** p<0.01, ** p<0.05, * p<0.1																													
