	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)
VARIABLES	NEXHIBIT	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
																													
NEXHIBIT	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
DRET	-0.807		-0.807	0.649	-0.324	0.014	0.221	0.083	-0.067	-0.074	-0.048	-0.024	0.163	-0.153	-0.143	-0.060	-0.186	0.132	-0.458**	-0.491	-0.219	-0.007	-0.159	-0.086	-0.117***	-0.145	-0.149	-0.294***	0.403
	(-0.30)		(-0.30)	(0.22)	(-0.37)	(0.02)	(1.10)	(0.36)	(-0.09)	(-0.19)	(-0.18)	(-0.12)	(1.08)	(-0.74)	(-0.60)	(-0.58)	(-1.54)	(1.13)	(-1.97)	(-1.51)	(-1.42)	(-0.06)	(-0.80)	(-0.35)	(-3.24)	(-0.95)	(-1.10)	(-4.14)	(1.23)
BN	-0.159	-0.693	-0.159	0.111	-0.065	-0.029	0.049	0.049	0.074	0.094	-0.040	-0.035	0.039	0.002	-0.029	0.003	-0.023	-0.007	-0.000	-0.046	-0.005	0.038*	-0.008	0.008	0.042*	-0.002	-0.048**	-0.024	0.001
	(-0.39)	(-0.49)	(-0.39)	(0.23)	(-0.48)	(-0.23)	(0.59)	(0.50)	(0.47)	(1.12)	(-0.66)	(-1.06)	(1.57)	(0.05)	(-0.74)	(0.14)	(-0.82)	(-0.27)	(-0.01)	(-0.97)	(-0.22)	(1.75)	(-0.25)	(0.26)	(1.81)	(-0.04)	(-2.29)	(-0.99)	(0.01)
DRET_BN	0.955		0.955	-0.715	0.296	-0.142	-0.188	0.076	0.203	0.270	-0.054	-0.076	-0.068	0.153	0.211	0.143	0.284*	-0.341**	0.761**	0.583	0.339	0.355	0.218	0.111	0.368***	0.175	0.146	0.398***	-0.326
	(0.15)		(0.15)	(-0.18)	(0.22)	(-0.13)	(-0.71)	(0.18)	(0.19)	(0.46)	(-0.13)	(-0.25)	(-0.31)	(0.47)	(0.68)	(0.79)	(1.89)	(-1.99)	(2.03)	(1.30)	(1.45)	(1.64)	(0.68)	(0.30)	(4.14)	(1.28)	(0.89)	(3.61)	(-0.40)
o.DRET		-																											
																													
o.DRET_BN		-																											
																													
Constant	-0.435	-0.240	-0.435	-0.759*	-0.615***	-0.703***	-0.766***	-0.752***	-0.763***	-0.731***	-0.666***	-0.669***	-0.706***	-0.655***	-0.645***	-0.668***	-0.643***	-0.696***	-0.610***	-0.585***	-0.631***	-0.652***	-0.641***	-0.662***	-0.646***	-0.639***	-0.637***	-0.616***	-0.687***
	(-1.47)	(-0.26)	(-1.47)	(-1.73)	(-4.26)	(-5.70)	(-13.94)	(-12.99)	(-4.62)	(-9.68)	(-13.68)	(-24.38)	(-34.64)	(-26.04)	(-21.50)	(-46.97)	(-29.39)	(-33.19)	(-20.37)	(-13.36)	(-33.33)	(-45.38)	(-26.49)	(-21.61)	(-54.62)	(-29.37)	(-33.40)	(-41.94)	(-9.89)
																													
Observations	335	39	335	550	1,764	2,274	2,322	2,466	1,637	2,611	3,043	4,978	6,647	6,073	5,707	8,170	6,479	6,525	5,817	4,084	6,511	6,523	6,230	5,942	5,479	4,770	7,371	5,567	261
Adjusted R-squared	0.460	1.000	0.460	0.293	0.256	0.306	0.329	0.302	0.342	0.307	0.277	0.288	0.195	0.104	0.094	0.094	0.111	0.108	0.093	0.081	0.086	0.094	0.083	0.061	0.065	0.066	0.072	0.086	0.113
Year-quarter FE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Industry clustered SE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust t-statistics in parentheses																													
*** p<0.01, ** p<0.05, * p<0.1																													
