	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)
VARIABLES	NGRAPH	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
																													
NGRAPH	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
o.DRET	-	-	-	-	-	-	-	-																					
																													
o.BN	-		-	-	-	-	-	-																					
																													
o.DRET_BN	-	-	-	-	-	-	-	-																					
																													
o._cons	0.000		0.000	0.000	0.000	0.000	0.000	0.000																					
	(.)		(.)	(.)	(.)	(.)	(.)	(.)																					
BN		0.000							-0.005	0.011	0.058	0.038	-0.004	-0.013	-0.014	-0.024	-0.017	0.040	0.033	-0.032	0.021	0.046	0.002	0.038	-0.030	0.035	-0.090**	-0.048	0.220
		(0.00)							(-0.48)	(0.27)	(1.19)	(0.99)	(-0.16)	(-0.31)	(-0.29)	(-0.86)	(-0.47)	(1.21)	(0.47)	(-0.42)	(0.54)	(1.04)	(0.04)	(0.68)	(-0.83)	(0.63)	(-2.05)	(-1.27)	(1.01)
DRET									-0.028	0.020	-0.024	0.096	0.055	-0.125	-0.041	-0.101	-0.242	0.419**	0.316	-0.417	-0.066	0.016	-0.807*	-0.172	-0.147	-0.166	-0.340*	-0.376**	0.445
									(-0.49)	(0.18)	(-0.18)	(0.43)	(0.56)	(-0.44)	(-0.12)	(-0.79)	(-1.24)	(2.57)	(0.98)	(-0.84)	(-0.20)	(0.07)	(-1.87)	(-0.41)	(-1.52)	(-0.71)	(-1.65)	(-2.17)	(0.72)
DRET_BN									0.048	-0.039	0.181	-0.132	-0.094	0.102	0.125	0.087	0.312	-0.649***	-0.357	0.493	0.149	0.378	1.207**	0.365	0.151	0.292	0.384**	0.493**	-0.450
									(0.49)	(-0.26)	(0.93)	(-0.40)	(-0.60)	(0.31)	(0.26)	(0.48)	(1.55)	(-2.87)	(-1.14)	(0.79)	(0.30)	(0.88)	(2.28)	(0.49)	(0.85)	(0.94)	(2.54)	(2.51)	(-0.49)
Constant		0.000							0.008	-0.043*	-0.085***	-0.161***	-0.206***	-0.235***	-0.277***	-0.335***	-0.342***	-0.498***	-0.494***	-0.396***	-0.514***	-0.522***	-0.496***	-0.594***	-0.572***	-0.596***	-0.617***	-0.621***	-0.852***
		(0.00)							(0.47)	(-1.76)	(-2.76)	(-4.77)	(-11.32)	(-6.32)	(-6.59)	(-17.53)	(-10.91)	(-16.74)	(-11.42)	(-5.76)	(-14.16)	(-17.61)	(-10.54)	(-11.54)	(-27.34)	(-17.56)	(-20.92)	(-24.03)	(-6.51)
																													
Observations	335	39	335	550	1,764	2,274	2,322	2,466	1,637	2,611	3,043	4,978	6,647	6,073	5,707	8,170	6,479	6,525	5,817	4,084	6,511	6,523	6,230	5,942	5,479	4,770	7,371	5,567	261
R-squared									0.506	0.651	0.576	0.667	0.600	0.598	0.544	0.486	0.541	0.574	0.581	0.669	0.499	0.544	0.557	0.548	0.590	0.594	0.485	0.550	0.725
Year-quarter FE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Industry clustered SE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust t-statistics in parentheses																													
*** p<0.01, ** p<0.05, * p<0.1																													
