	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)
VARIABLES	TLAG	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
																													
TLAG	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
RET	1.492	1.492	0.753	-0.109	0.538	-0.869	-0.431	-0.324	-0.362*	-0.441	-0.411	-0.279	0.227	-0.015	-0.487	-0.542	-0.429	0.124	-0.316	0.485	0.320	0.104	-0.009	0.148	-0.063	-0.063	-0.094	0.188	-1.807
	(0.15)	(0.15)	(0.32)	(-0.14)	(1.23)	(-1.48)	(-0.74)	(-0.87)	(-1.83)	(-1.62)	(-0.97)	(-0.76)	(0.44)	(-0.04)	(-1.24)	(-1.01)	(-1.09)	(0.44)	(-0.68)	(0.94)	(0.68)	(0.23)	(-0.03)	(0.71)	(-0.19)	(-0.22)	(-0.29)	(1.38)	(-0.31)
NEG	4.001	4.001	0.104	-0.214	0.117	0.003	0.026	-0.048	-0.201	-0.074	-0.154	-0.054	0.091	-0.063	-0.057	-0.058	0.060	-0.100	-0.031	-0.181	0.151	0.006	-0.077	-0.018	-0.055	-0.009	0.170	-0.147	0.050
	(0.91)	(0.91)	(0.29)	(-0.89)	(0.63)	(0.02)	(0.16)	(-0.27)	(-1.53)	(-0.51)	(-0.85)	(-0.30)	(0.55)	(-0.43)	(-0.43)	(-0.46)	(0.52)	(-0.62)	(-0.20)	(-1.25)	(1.16)	(0.05)	(-0.71)	(-0.15)	(-0.41)	(-0.06)	(1.15)	(-1.11)	(0.05)
RET_NEG	50.753	50.753	-3.134	-1.231	0.161	0.915	-0.211	0.040	-0.370	-0.084	0.888	-0.361	-0.659	-0.296	0.112	0.168	0.366	-1.202*	0.718	-1.267*	-0.719	-0.942	0.156	-0.407	-0.978*	-0.130	0.161	0.016	2.493
	(1.58)	(1.58)	(-0.87)	(-0.92)	(0.18)	(1.26)	(-0.29)	(0.07)	(-0.95)	(-0.17)	(1.57)	(-0.53)	(-0.74)	(-0.38)	(0.16)	(0.23)	(0.69)	(-1.82)	(0.88)	(-1.78)	(-1.01)	(-1.26)	(0.22)	(-0.97)	(-1.73)	(-0.22)	(0.28)	(0.04)	(0.28)
Constant	41.166***	41.166***	41.142***	41.954***	43.055***	42.061***	42.497***	42.994***	42.715***	43.503***	43.758***	41.462***	38.915***	38.272***	38.660***	39.222***	37.849***	36.752***	36.578***	36.562***	36.920***	37.305***	36.030***	35.775***	35.252***	35.896***	37.252***	37.159***	36.620***
	(30.20)	(30.20)	(144.45)	(288.29)	(414.83)	(289.28)	(331.46)	(381.03)	(504.61)	(439.44)	(428.64)	(397.22)	(369.75)	(393.57)	(504.42)	(437.63)	(491.79)	(395.00)	(404.80)	(374.22)	(436.01)	(441.40)	(508.56)	(582.78)	(461.10)	(486.71)	(497.75)	(529.89)	(36.70)
																													
Observations	89	89	2,042	4,332	8,372	10,123	9,968	9,300	9,725	8,861	8,279	7,761	7,608	7,220	7,253	7,411	7,631	6,378	6,498	6,561	6,797	6,752	7,047	6,850	6,542	6,604	6,903	7,028	400
Adjusted R-squared	0.932	0.932	0.611	0.580	0.569	0.601	0.581	0.581	0.610	0.586	0.536	0.665	0.742	0.714	0.759	0.791	0.817	0.803	0.828	0.829	0.834	0.788	0.844	0.827	0.820	0.806	0.820	0.786	0.855
Year-quarter FE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Industry clustered SE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust t-statistics in parentheses																													
*** p<0.01, ** p<0.05, * p<0.1																													
