	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)
VARIABLES	TLAG	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
																													
TLAG	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
DRET	7.218		7.218	3.836	1.864	2.054	1.261**	0.976**	1.810	1.939**	2.060**	3.742***	2.154***	2.696***	2.452***	1.707***	1.196***	2.752***	2.738***	3.666***	2.513***	2.526***	2.281***	1.900***	0.842**	1.446***	1.798***	1.164***	1.037**
	(0.95)		(0.95)	(0.39)	(1.00)	(1.27)	(2.46)	(2.07)	(0.98)	(2.02)	(2.19)	(4.27)	(4.45)	(4.54)	(4.69)	(4.60)	(3.01)	(5.90)	(5.27)	(3.41)	(4.51)	(3.65)	(4.28)	(3.77)	(2.34)	(4.06)	(6.15)	(3.19)	(2.31)
BN	0.360	-0.134	0.360	0.058	-0.273	-0.051	-0.049	-0.096	0.112	0.061	0.303*	0.030	-0.081	-0.056	-0.016	-0.030	0.006	0.003	0.095	0.099	0.035	0.030	-0.041	0.007	-0.117	-0.077	0.181***	-0.042	-0.071
	(0.32)	(-0.09)	(0.32)	(0.05)	(-0.72)	(-0.14)	(-0.25)	(-0.35)	(0.23)	(0.27)	(1.83)	(0.22)	(-0.90)	(-0.58)	(-0.14)	(-0.36)	(0.08)	(0.03)	(1.12)	(0.58)	(0.42)	(0.35)	(-0.49)	(0.09)	(-1.49)	(-0.70)	(3.07)	(-0.49)	(-0.21)
DRET_BN	-14.463		-14.463	-5.402	-3.771	-3.965*	-2.487***	-1.804	-4.042	-3.501**	-3.015**	-6.726***	-4.120***	-4.080***	-3.658***	-2.714***	-1.785***	-4.124***	-3.752***	-5.072***	-3.284***	-3.661***	-3.672***	-3.127***	-1.749***	-2.789***	-2.284***	-1.877**	-1.553*
	(-0.88)		(-0.88)	(-0.35)	(-1.11)	(-1.68)	(-3.49)	(-1.61)	(-1.63)	(-2.24)	(-2.03)	(-5.13)	(-5.45)	(-4.32)	(-4.10)	(-3.27)	(-3.38)	(-5.18)	(-4.52)	(-3.32)	(-4.39)	(-3.76)	(-4.24)	(-4.68)	(-3.06)	(-5.86)	(-6.50)	(-2.41)	(-1.89)
o.DRET		-																											
																													
o.DRET_BN		-																											
																													
Constant	-3.616***	-3.551***	-3.616***	-3.346**	-3.010***	-3.196***	-2.952***	-2.869***	-3.298***	-3.010***	-2.825***	-2.695***	-2.257***	-2.291***	-2.255***	-2.217***	-2.138***	-2.309***	-2.359***	-2.380***	-2.159***	-2.191***	-2.152***	-2.143***	-1.994***	-2.100***	-2.143***	-1.902***	-1.623***
	(-4.16)	(-3.86)	(-4.16)	(-2.42)	(-9.88)	(-11.36)	(-21.98)	(-20.09)	(-7.34)	(-15.78)	(-18.26)	(-20.78)	(-31.85)	(-28.62)	(-31.50)	(-43.01)	(-28.58)	(-28.47)	(-34.96)	(-16.27)	(-32.08)	(-27.51)	(-35.10)	(-35.34)	(-36.62)	(-31.92)	(-54.61)	(-32.73)	(-9.14)
																													
Observations	335	39	335	550	1,764	2,274	2,322	2,466	1,637	2,611	3,043	4,978	6,647	6,073	5,707	8,170	6,479	6,525	5,817	4,084	6,511	6,523	6,230	5,942	5,479	4,770	7,371	5,567	261
Adjusted R-squared	0.098	1.000	0.098	0.042	0.100	0.001	0.069	0.031	0.092	0.050	0.076	0.083	0.040	0.068	0.042	0.075	0.043	0.089	0.056	0.061	0.073	0.073	0.074	0.067	0.041	0.103	0.089	0.091	-0.038
Year-quarter FE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Industry clustered SE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust t-statistics in parentheses																													
*** p<0.01, ** p<0.05, * p<0.1																													
