	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)
VARIABLES	n8k	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
																													
n8k	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
o.DRET	-	-	-																										
																													
o.BN	-		-																										
																													
o.DRET_BN	-	-	-																										
																													
BN		0.000		0.000	0.000	-0.010	0.001	0.007	-0.004	0.006	0.005	0.001	0.004	-0.001	-0.002	-0.004	-0.003	0.011**	-0.011	-0.012	-0.000	-0.006	-0.003	0.003	-0.001	0.002	-0.007	-0.011	-0.000
		(0.00)		(0.30)	(0.04)	(-0.58)	(0.07)	(0.87)	(-0.32)	(0.89)	(0.60)	(0.12)	(0.77)	(-0.22)	(-0.28)	(-1.05)	(-0.63)	(2.17)	(-1.53)	(-1.15)	(-0.04)	(-1.10)	(-0.48)	(0.47)	(-0.23)	(0.39)	(-1.29)	(-1.46)	(-0.02)
DRET				-0.026	0.018	-0.029	0.007	0.004	-0.070	0.031	0.018	0.022	0.001	-0.008	-0.016	-0.033	-0.010	0.034	-0.063	-0.116	0.001	-0.094*	-0.042	-0.024	-0.057**	0.001	-0.046	-0.097**	0.109
				(-0.36)	(0.35)	(-0.55)	(0.43)	(0.23)	(-0.69)	(1.38)	(0.59)	(0.61)	(0.10)	(-0.20)	(-0.58)	(-1.27)	(-0.41)	(1.27)	(-1.04)	(-1.48)	(0.03)	(-1.69)	(-0.80)	(-0.55)	(-2.54)	(0.09)	(-1.45)	(-2.34)	(0.93)
DRET_BN				0.055	-0.040	-0.009	-0.002	-0.002	0.120	-0.038	-0.018	-0.046	0.030	-0.017	-0.006	0.039	0.010	-0.039	0.098	0.123	0.000	0.142*	0.033	0.034	0.101**	0.015	0.049*	0.127***	-0.037
				(0.36)	(-0.47)	(-0.22)	(-0.11)	(-0.07)	(0.80)	(-1.11)	(-0.44)	(-0.62)	(0.88)	(-0.37)	(-0.18)	(0.93)	(0.35)	(-1.04)	(1.22)	(1.37)	(0.01)	(1.71)	(0.49)	(0.55)	(2.07)	(0.70)	(1.73)	(2.68)	(-0.17)
Constant	-0.697	-0.693	-0.697	-0.695***	-0.702***	-0.693***	-0.697***	-0.701***	-0.683***	-0.704***	-0.703***	-0.705***	-0.706***	-0.708***	-0.707***	-0.704***	-0.706***	-0.717***	-0.697***	-0.694***	-0.707***	-0.700***	-0.707***	-0.708***	-0.702***	-0.710***	-0.702***	-0.697***	-0.709***
	(.)	(-0.75)	(.)	(-74.61)	(-77.95)	(-76.43)	(-153.43)	(-159.34)	(-31.77)	(-137.41)	(-119.66)	(-131.22)	(-264.90)	(-139.89)	(-161.91)	(-220.97)	(-154.38)	(-148.39)	(-95.60)	(-69.89)	(-213.88)	(-114.15)	(-121.64)	(-127.89)	(-244.48)	(-208.30)	(-164.14)	(-116.61)	(-33.57)
																													
Observations	335	39	335	550	1,764	2,274	2,322	2,466	1,637	2,611	3,043	4,978	6,647	6,073	5,707	8,170	6,479	6,525	5,817	4,084	6,511	6,523	6,230	5,942	5,479	4,770	7,371	5,567	261
R-squared	1.000		1.000	0.928	0.779	0.750	0.697	0.704	0.610	0.619	0.463	0.522	0.438	0.472	0.450	0.325	0.400	0.388	0.459	0.559	0.361	0.383	0.436	0.418	0.480	0.498	0.305	0.444	0.592
Year-quarter FE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Industry clustered SE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust t-statistics in parentheses																													
*** p<0.01, ** p<0.05, * p<0.1																													
