	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)
VARIABLES	nitem	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
																													
nitem	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
DRET	-0.532		-0.532	0.358	0.033	-0.093	-0.019	-0.088	-0.143	0.168*	-0.011	0.298*	0.127	0.027	0.102	-0.005	-0.073	0.063	-0.295**	-0.330	-0.080	-0.129	-0.085	-0.132	-0.091**	0.013	-0.092	-0.184***	0.336
	(-0.35)		(-0.35)	(0.22)	(0.12)	(-0.31)	(-0.14)	(-1.17)	(-0.52)	(1.72)	(-0.12)	(1.87)	(1.19)	(0.23)	(0.91)	(-0.09)	(-0.94)	(0.73)	(-2.53)	(-1.59)	(-0.81)	(-1.42)	(-0.58)	(-0.77)	(-2.40)	(0.21)	(-1.64)	(-3.72)	(1.13)
BN	-0.164	0.000	-0.164	-0.047	-0.032	-0.015	0.000	0.019	-0.005	0.042	0.005	0.006	-0.002	0.011	0.002	0.000	-0.004	0.009	-0.021	-0.028	-0.001	0.003	-0.007	-0.008	0.014	0.007	-0.022*	-0.013	0.034
	(-0.89)	(0.00)	(-0.89)	(-0.27)	(-0.71)	(-0.31)	(0.01)	(0.52)	(-0.08)	(1.33)	(0.20)	(0.21)	(-0.08)	(0.54)	(0.08)	(0.00)	(-0.19)	(0.46)	(-1.05)	(-0.92)	(-0.09)	(0.19)	(-0.32)	(-0.39)	(0.92)	(0.32)	(-1.95)	(-0.84)	(0.41)
DRET_BN	-0.576		-0.576	-0.652	-0.110	0.057	0.021	0.214	0.182	-0.153	0.006	-0.571**	-0.198	-0.058	-0.155	0.000	0.147	-0.135	0.394**	0.404	0.136	0.295*	0.050	0.122	0.180**	-0.019	0.096	0.249***	-0.166
	(-0.18)		(-0.18)	(-0.29)	(-0.24)	(0.11)	(0.14)	(1.22)	(0.51)	(-1.31)	(0.04)	(-2.08)	(-1.06)	(-0.32)	(-1.07)	(0.00)	(1.62)	(-0.71)	(2.01)	(1.53)	(1.06)	(1.72)	(0.29)	(0.51)	(2.48)	(-0.21)	(1.23)	(3.08)	(-0.22)
o.DRET		-																											
																													
o.DRET_BN		-																											
																													
Constant	-0.812***	-0.922	-0.812***	-0.936***	-0.924***	-0.955***	-0.966***	-0.971***	-0.966***	-1.023***	-0.974***	-1.153***	-1.234***	-1.098***	-1.104***	-1.095***	-1.079***	-1.116***	-1.061***	-1.060***	-1.091***	-1.094***	-1.099***	-1.099***	-1.100***	-1.111***	-1.103***	-1.091***	-1.152***
	(-5.45)	(-1.00)	(-5.45)	(-4.84)	(-20.60)	(-18.45)	(-34.10)	(-48.64)	(-15.30)	(-48.80)	(-57.06)	(-50.59)	(-73.25)	(-70.63)	(-76.56)	(-132.88)	(-74.08)	(-71.04)	(-64.75)	(-38.73)	(-95.29)	(-91.14)	(-64.41)	(-53.06)	(-123.65)	(-88.95)	(-124.59)	(-111.58)	(-19.53)
																													
Observations	335	39	335	550	1,764	2,274	2,322	2,466	1,637	2,611	3,043	4,978	6,647	6,073	5,707	8,170	6,479	6,525	5,817	4,084	6,511	6,523	6,230	5,942	5,479	4,770	7,371	5,567	261
R-squared	0.902		0.902	0.903	0.806	0.815	0.852	0.822	0.866	0.717	0.746	0.607	0.517	0.525	0.519	0.378	0.452	0.455	0.501	0.580	0.386	0.442	0.437	0.463	0.483	0.517	0.369	0.452	0.556
Year-quarter FE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Industry clustered SE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust t-statistics in parentheses																													
*** p<0.01, ** p<0.05, * p<0.1																													
