	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	NW	TONE	TLAG	NW	TONE	TLAG	NW	TONE	TLAG
									
NW	.			.			.		
	(.)			(.)			(.)		
LAG1_NW	0.256***								
	(22.66)								
LAG1_NEG	-0.174***	-0.320***	-2.812***						
	(-3.27)	(-7.26)	(-4.21)						
LAG1_NW_LAG1_NEG	-0.019***								
	(-3.23)								
TONE		.			.			.	
		(.)			(.)			(.)	
LAG1_TONE		0.648***							
		(91.90)							
LAG1_TONE_LAG1_NEG		-0.012**							
		(-2.46)							
TLAG			.			.			.
			(.)			(.)			(.)
LAG1_TLAG			0.022						
			(1.31)						
LAG1_TLAG_LAG1_NEG			0.076***						
			(4.33)						
LAG2_NW				0.215***					
				(22.82)					
LAG2_NEG				-0.069	-0.420***	-0.055			
				(-1.54)	(-9.29)	(-0.14)			
LAG2_NW_LAG2_NEG				-0.007					
				(-1.40)					
LAG2_TONE					0.520***				
					(62.06)				
LAG2_TONE_LAG2_NEG					-0.009**				
					(-2.10)				
LAG2_TLAG						0.057***			
						(5.54)			
LAG2_TLAG_LAG2_NEG						0.004			
						(0.37)			
LAG3_NW							0.248***		
							(29.03)		
LAG3_NEG							-0.115**	-0.436***	1.278***
							(-2.40)	(-8.99)	(3.11)
LAG3_NW_LAG3_NEG							-0.011**		
							(-2.17)		
LAG3_TONE								0.443***	
								(49.27)	
LAG3_TONE_LAG3_NEG								-0.010**	
								(-2.32)	
LAG3_TLAG									0.044***
									(6.40)
LAG3_TLAG_LAG3_NEG									-0.030***
									(-2.86)
Constant	-6.326***	-2.644***	39.409***	-5.911***	4.677***	30.728***	-5.797***	-1.444	41.567***
	(-61.89)	(-12.50)	(52.17)	(-69.33)	(5.43)	(4.53)	(-58.19)	(-0.45)	(63.78)
									
Observations	114,399	114,399	114,399	112,715	112,715	112,715	110,374	110,374	110,374
Adjusted R-squared	0.716	0.764	0.637	0.716	0.707	0.636	0.726	0.678	0.634
Year-quarter FE	YES	YES	YES	YES	YES	YES	YES	YES	YES
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES	YES
Industry clustered SE	YES	YES	YES	YES	YES	YES	YES	YES	YES
Robust t-statistics in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
